企業コード,2状況,企業名,企業名（カナ）,郵便番号,所在地,代表者名,代表者名（カナ）,電話番号,売上（2022）,利益（2022）,売上（2021）,利益（2021）,売上（2020）,利益（2020）
746682,1,雲海物流,ｳﾝｶｲﾌﾞﾂﾘｭｳ,923-0332,石川県小松市湯上町４４９６９コート湯上町１０２,茂木　奏,ﾓｷﾞ ｶﾅﾃﾞ,076-753-2852,45056816,10953694,29381587,24675209,53072881,16741166
614033,2,神風貿易,ｶﾐｶｾﾞﾎﾞｳｴｷ,709-0805,岡山県赤磐市二井４５０２７キャッスル二井１１６,田端　正之,ﾀﾊﾞﾀ ﾏｻﾕｷ,0869-36-2566,66710797,59135678,14959372,59798598,44652866,29300364
997579,2,新月電子,ｼﾝｹﾞﾂﾃﾞﾝｼ,409-1315,山梨県甲州市勝沼町等々力３８２０２,高瀬　省吾,ﾀｶｾ ｼｮｳｺﾞ,0555-52-7037,94993356,51777474,99991654,12094504,97544616,79853120
246860,1,華蓮製紙,ｶﾚﾝｾｲｼ,014-0202,秋田県大仙市上鶯野４－２０－１８上鶯野荘３１４,高橋　由衣,ﾀｶﾊｼ ﾕｲ,018-740-6867,73461721,47969666,3717094,39011895,38896493,47914415
456140,1,桜花化学,ｻｸﾗｶｶｶﾞｸ,410-0308,静岡県沼津市柳沢３－１７－４柳沢タウン１０２,荒井　咲奈,ｱﾗｲ ｻｷﾅ,054-408-2285,20627280,9854150,65955402,7281779,37984001,5353683
510475,2,神楽銀行,ｶｸﾞﾗｷﾞﾝｺｳ,615-0905,京都府京都市右京区梅津石灘町３７７７７梅津石灘町プレイス１０５,矢口　貴士,ﾔｸﾞﾁ ﾀｶｼ,0771-94-1168,52835453,30417645,9101246,49709035,67819335,6601871
953438,1,冬木織物,ﾌﾕｷｵﾘﾓﾉ,319-3513,茨城県久慈郡大子町大生瀬４４９９９,松原　寿,ﾏﾂﾊﾞﾗ ﾋｻｼ,0297-39-3395,56611533,41778938,76945749,55909837,65905066,44112307
596284,2,白鳥貿易,ﾊｸﾁｮｳﾎﾞｳｴｷ,648-0037,和歌山県橋本市賢堂３８１５３ハウス賢堂３１５,島津　小百合,ｼﾏﾂﾞ ｻﾕﾘ,073-95-1097,72532069,32593964,67712523,56221319,76943362,57004345
635871,2,星海建設,ｾｲｶｲｹﾝｾﾂ,639-0202,奈良県北葛城郡上牧町桜ケ丘１－１６－８,西原　妃菜,ﾆｼﾊﾗ ﾋﾅ,0746-97-2703,64909578,56816429,45769527,12420261,80457705,9619252
329299,2,紅陽製作所,ｺｳﾖｳｾｲｻｸｼﾞｮ,399-9211,長野県北安曇郡白馬村神城４４９６５,田淵　結芽,ﾀﾌﾞﾁ ﾕﾒ,026-313-2608,36697300,30735036,66061526,11369114,91030960,27651598
124960,2,三峰総合病院,ｻﾝﾎﾟｳｿｳｺﾞｳﾋﾞｮｳｲﾝ,709-0623,岡山県岡山市東区城東台南１－１６－９,細野　雅信,ﾎｿﾉ ﾏｻﾉﾌﾞ,086-096-5238,62788668,41775127,57533817,37100299,41175988,42931896
500031,1,樹海物産,ｼﾞｭｶｲﾌﾞｯｻﾝ,675-1376,兵庫県小野市丸山町４－１７－１５,宮地　七海,ﾐﾔﾁ ﾅﾅﾐ,078-750-0017,53388260,12354512,40519418,22066643,66303238,11539220
709182,1,銀波通信,ｷﾞﾝﾊﾂｳｼﾝ,986-1332,宮城県石巻市雄勝町小島３７６５９,横山　紗英,ﾖｺﾔﾏ ｻｴ,022-846-4714,89082936,83024017,64475665,59049220,12360427,32897681
704913,2,黒石金属,ｸﾛｲｼｷﾝｿﾞｸ,039-3353,青森県東津軽郡平内町田茂木３７７７８,岡本　典大,ｵｶﾓﾄ ﾉﾘﾋﾛ,0173-39-8977,88030297,54942960,67098183,45309026,43939064,51948473
237327,1,春日産業,ｶｽｶﾞｻﾝｷﾞｮｳ,930-2101,富山県富山市山田中瀬３７５４４山田中瀬テラス２０４,荒木　海人,ｱﾗｷ ｱﾏﾄ,076-487-0131,8718819,4294555,48633830,4193603,92487200,7658120
455225,1,太陽酒造,ﾀｲﾖｳｼｭｿﾞｳ,018-2805,秋田県能代市轟１－１６－６,大坪　鉄男,ｵｵﾂﾎﾞ ﾃﾂｵ,018-482-6899,32850360,26694386,97073571,24354754,47369164,23052827
596671,1,緑葉興産,ﾘｮｸﾖｳｺｳｻﾝ,669-3163,兵庫県丹波市山南町山本３７４０８山南町山本ヴィレッジ４１８,田崎　香,ﾀｻﾞｷ ｶｵﾙ,079-115-2730,16477435,6070023,77102879,9092720,79381885,3116989
459375,1,白虹エンジニアリング,ﾊｸｺｳｴﾝｼﾞﾆｱﾘﾝｸﾞ,571-0009,大阪府門真市下馬伏町３８１５６下馬伏町プレシャス３０５,森本　幸也,ﾓﾘﾓﾄ ﾕｷﾔ,06-4194-4336,39653871,23424309,21452344,20516754,88803328,12859498
142936,1,東洋鋼鉄,ﾄｳﾖｳｺｳﾃﾂ,851-0244,長崎県長崎市大崎町４４９９３大崎町スカイ４０２,郡司　綾華,ｸﾞﾝｼﾞ ｱﾔｶ,0950-80-1581,23113981,13027233,99233466,14661304,13449795,15996134
530860,1,瑞宝銀行,ｽﾞｲﾎｳｷﾞﾝｺｳ,939-0508,富山県富山市水橋西浜町４５０２１水橋西浜町タワー２０８,小坂　祐介,ｵｻｶ ﾕｳｽｹ,076-341-4119,80968470,45075387,68884666,36916813,43548904,10279541
310637,2,千羽鶴製薬,ｾﾝﾊﾞﾂﾙｾｲﾔｸ,400-0203,山梨県南アルプス市徳永４４９２７,高野　雫,ﾀｶﾉ ｼｽﾞｸ,0553-13-3546,61063835,53458875,97003642,42330654,6570757,58743119
145951,1,金星興業,ｷﾝｾｲｺｳｷﾞｮｳ,959-0416,新潟県新潟市西蒲区浦村４－１８－１浦村の杜４１７,出口　葉子,ﾃﾞｸﾁ ﾖｳｺ,025-815-2179,6591005,1263811,1289271,4553422,16827530,766655
588298,2,流星通信,ﾘｭｳｾｲﾂｳｼﾝ,292-0033,千葉県木更津市犬成４５０２５,林田　文隆,ﾊﾔｼﾀﾞ ﾌﾐﾀｶ,04-2722-1840,11651956,3705893,11872965,4157665,50705896,7600193
612900,2,紅葉製紙,ｺｳﾖｳｾｲｼ,988-0207,宮城県気仙沼市岩月宝ケ沢４４９６９,古市　勇雄,ﾌﾙｲﾁ ｲｻｵ,022-944-0244,53338363,5485463,82963104,21750969,90118952,40357396
141950,1,青山織物,ｱｵﾔﾏｵﾘﾓﾉ,300-2442,茨城県つくばみらい市西ノ台１－１６－１９,栗山　亜希,ｸﾘﾔﾏ ｱｷ,0479-53-4327,42412371,18850960,29544597,30368175,88004149,29020619
505588,1,金星金属,ｷﾝｾｲｷﾝｿﾞｸ,746-0051,山口県周南市御姫町１－２０－５,大木　良平,ｵｵｷ ﾘｮｳﾍｲ,083-642-3178,95025213,34923301,71370183,68428976,61012669,93966217
519097,2,月光酒造,ｹﾞﾂｺｳｼｭｿﾞｳ,633-2144,奈良県宇陀市大宇陀栗野３－１４－１３大宇陀栗野グランド３１３,堀田　五郎,ﾎｯﾀ ｺﾞﾛｳ,0747-25-7709,21056096,3365640,11813972,4990384,51224303,5483233
216402,1,大海物産,ﾀｲｶｲﾌﾞｯｻﾝ,933-0803,富山県高岡市出来田３８２０６,平川　紗耶,ﾋﾗｶﾜ ｻﾔ,076-808-1063,7392076,3611173,40541439,4372771,20899903,2629772
753537,1,日本総合病院,ﾆﾎﾝｿｳｺﾞｳﾋﾞｮｳｲﾝ,518-1417,三重県伊賀市富永４－１５－９,岡本　伍朗,ｵｶﾓﾄ ｺﾞﾛｳ,059-082-9689,93849666,35045856,58501690,31393276,70405880,75208482
448736,2,星野貿易,ﾎｼﾉﾎﾞｳｴｷ,370-0117,群馬県伊勢崎市境百々３７９３４境百々スイート２１５,小椋　泉,ｵｸﾞﾗ ｲｽﾞﾐ,0274-46-8133,84217113,17780671,75774880,77010087,82671589,9851878
116297,1,白雪産業,ｼﾛﾕｷｻﾝｷﾞｮｳ,039-1542,青森県三戸郡五戸町中道十文字４５００４,福山　千恵子,ﾌｸﾔﾏ ﾁｴｺ,017-840-0459,40545843,5178976,56591245,5215273,17541892,37086949
471842,1,楓木繊維,ｶｴﾃﾞｷｾﾝｲ,923-0072,石川県小松市みどり町４－１７－１６フォレストみどり町２０６,平野　菜々,ﾋﾗﾉ ﾅﾅ,076-188-1996,11809544,9228928,16123300,10391970,30297751,3206841
649811,1,清水建設,ｼﾐｽﾞｹﾝｾﾂ,899-3515,鹿児島県南さつま市金峰町中津野３８２６３,尾上　秀幸,ｵｶﾞﾐ ﾋﾃﾞﾕｷ,099-06-5262,38218655,20051151,5169977,5717530,86954477,30526624
318374,1,神楽エンジニアリング,ｶｸﾞﾗｴﾝｼﾞﾆｱﾘﾝｸﾞ,606-8384,京都府京都市左京区新生洲町３６９０４,安斉　真治,ｱﾝｻﾞｲ ｼﾝｼﾞ,0774-1-4172,70458398,8505608,9327157,22398587,13456331,29639231
469222,1,夏木興産,ﾅﾂｷｺｳｻﾝ,859-4306,長崎県松浦市鷹島町原免４４９９１,小林　美緒,ｺﾊﾞﾔｼ ﾐｵ,095-032-3713,32885201,26156658,78467361,28331717,4388829,26167425
406631,2,蒼海化学,ｿｳｶｲｶｶﾞｸ,240-0015,神奈川県横浜市保土ケ谷区岩崎町４４９７７プラザ岩崎町３０９,三橋　栄三郎,ﾐﾊｼ ｴｲｻﾞﾌﾞﾛｳ,0460-95-3967,34466943,22545232,43037134,26659883,23275198,7244291
287155,2,春日製作所,ｶｽｶﾞｾｲｻｸｼﾞｮ,112-0012,東京都文京区大塚３７１２０ハウス大塚２０４,天野　菜々,ｱﾏﾉ ﾅﾅ,03-9252-1395,63947217,13185855,22874317,38648453,24572464,16338898
599219,2,太陽物流,ﾀｲﾖｳﾌﾞﾂﾘｭｳ,812-0011,福岡県福岡市博多区博多駅前１－１４－６,田渕　勝也,ﾀﾌﾞﾁ ｶﾂﾔ,0946-96-1689,33722951,16754842,32331996,11422601,25081414,27137233
195092,2,旭山通信,ｱｻﾋﾔﾏﾂｳｼﾝ,996-0213,山形県最上郡大蔵村赤松４－１４－６赤松スカイ４１０,伴　義美,ﾊﾞﾝ ﾖｼﾐ,023-535-1897,53369627,19896613,52798856,28977862,24999032,31904185
572146,1,鳳凰貿易,ﾎｳｵｳﾎﾞｳｴｷ,910-1305,福井県吉田郡永平寺町竹原３７９０４,羽田　葉菜,ﾊﾀ ﾊﾅ,0779-66-4805,86231895,55777620,52941717,83076780,76461595,35701029
